v8-version,6,2,414,50,0
code-creation,Stub,3,2861,0x333c03b94d00,2088,"RecordWriteStub"
code-creation,Stub,3,2862,0x333c03b955a0,2103,"RecordWriteStub"
code-creation,Stub,3,2863,0x333c03b95e40,2088,"RecordWriteStub"
code-creation,Stub,3,2864,0x333c03b966e0,884,"RecordWriteStub"
code-creation,Stub,3,2865,0x333c03b96ac0,884,"RecordWriteStub"
code-creation,Stub,3,2866,0x333c03b96ea0,2109,"RecordWriteStub"
code-creation,Stub,3,2867,0x333c03b97740,882,"RecordWriteStub"
code-creation,Stub,3,2867,0x333c03b97b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2868,0x333c03b97c60,235,"NumberToStringStub"
code-creation,Stub,3,2869,0x333c03b97dc0,2125,"RecordWriteStub"
code-creation,Stub,3,2870,0x333c03b98680,2142,"RecordWriteStub"
code-creation,Stub,3,2871,0x333c03b98f40,884,"RecordWriteStub"
code-creation,Stub,3,2872,0x333c03b99320,2104,"RecordWriteStub"
code-creation,Stub,3,2873,0x333c03b99bc0,2088,"RecordWriteStub"
code-creation,Stub,3,2874,0x333c03b9a460,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2875,0x333c03b9a5c0,2087,"RecordWriteStub"
code-creation,Stub,3,2875,0x333c03b9ae60,87,"DoubleToIStub"
code-creation,Stub,3,2876,0x333c03b9af20,2076,"RecordWriteStub"
code-creation,Stub,3,2877,0x333c03b9b7a0,2142,"RecordWriteStub"
code-creation,Stub,3,2878,0x333c03b9c060,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,2879,0x333c03b9c1a0,110,"InternalArrayConstructorStub"
code-creation,Stub,3,2880,0x333c03b9c280,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,2881,0x333c03b9c3c0,319,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,2882,0x333c03b9c560,27,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,2883,0x333c03b9c5e0,2084,"RecordWriteStub"
code-creation,Stub,3,2884,0x333c03b9ce80,2126,"RecordWriteStub"
code-creation,Stub,3,2885,0x333c03b9d740,2076,"RecordWriteStub"
code-creation,Stub,3,2885,0x333c03b9dfc0,2088,"RecordWriteStub"
code-creation,Stub,3,2886,0x333c03b9e860,2099,"RecordWriteStub"
code-creation,Stub,3,2887,0x333c03b9f100,2084,"RecordWriteStub"
code-creation,Stub,3,2888,0x333c03b9f9a0,2151,"RecordWriteStub"
code-creation,Stub,3,2889,0x333c03ba0280,2087,"RecordWriteStub"
code-creation,Stub,3,2890,0x333c03ba0b20,2072,"RecordWriteStub"
code-creation,Stub,3,2891,0x333c03ba13a0,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,2891,0x333c03ba1580,612,"An IC handler from the snapshot"
code-creation,Stub,3,2892,0x333c03ba1860,2126,"RecordWriteStub"
code-creation,Handler,4,2893,0x333c03ba2120,180,"An IC handler from the snapshot"
code-creation,Stub,3,2894,0x333c03ba2240,2088,"RecordWriteStub"
code-creation,Handler,4,2895,0x333c03ba2ae0,164,"An IC handler from the snapshot"
code-creation,Stub,3,2896,0x333c03ba2c00,3146,"SubStringStub"
code-creation,Stub,3,2897,0x333c03ba38c0,269,"CEntryStub"
code-creation,Stub,3,2898,0x333c03ba3a40,2106,"RecordWriteStub"
code-creation,Stub,3,2904,0x333c03ba42e0,2103,"RecordWriteStub"
code-creation,Stub,3,2905,0x333c03ba4b80,2110,"RecordWriteStub"
code-creation,Stub,3,2906,0x333c03ba5420,882,"RecordWriteStub"
code-creation,Stub,3,2906,0x333c03ba5800,2084,"RecordWriteStub"
code-creation,Stub,3,2907,0x333c03ba60a0,2072,"RecordWriteStub"
code-creation,Stub,3,2908,0x333c03ba6920,2106,"RecordWriteStub"
code-creation,Stub,3,2909,0x333c03ba71c0,2126,"RecordWriteStub"
code-creation,Stub,3,2910,0x333c03ba7a80,2113,"RecordWriteStub"
code-creation,Stub,3,2911,0x333c03ba8340,463,"StringAddStub"
code-creation,Builtin,5,2912,0x333c03ba8580,190,"NonPrimitiveToPrimitive_Default"
code-creation,Builtin,5,2913,0x333c03ba86a0,123,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,2914,0x333c03ba8780,260,"OrdinaryToPrimitive_Number"
code-creation,Stub,3,2915,0x333c03ba8900,2117,"RecordWriteStub"
code-creation,Stub,3,2916,0x333c03ba91c0,2142,"RecordWriteStub"
code-creation,Stub,3,2916,0x333c03ba9a80,2100,"RecordWriteStub"
code-creation,Stub,3,2917,0x333c03baa320,2117,"RecordWriteStub"
code-creation,Stub,3,2918,0x333c03baabe0,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2919,0x333c03baad40,2130,"RecordWriteStub"
code-creation,Stub,3,2920,0x333c03bab600,375,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2921,0x333c03bab7e0,2076,"RecordWriteStub"
code-creation,Stub,3,2922,0x333c03bac060,2142,"RecordWriteStub"
code-creation,Stub,3,2923,0x333c03bac920,491,"StringAddStub"
code-creation,Stub,3,2924,0x333c03bacb80,2088,"RecordWriteStub"
code-creation,Stub,3,2924,0x333c03bad420,2125,"RecordWriteStub"
code-creation,Stub,3,2925,0x333c03badce0,2084,"RecordWriteStub"
code-creation,Stub,3,2927,0x333c03bae580,215,"ArrayNoArgumentConstructorStub"
code-creation,Handler,4,2928,0x333c03bae6c0,636,"An IC handler from the snapshot"
code-creation,Stub,3,2929,0x333c03bae9a0,2126,"RecordWriteStub"
